ref,x1,y1,x2,y2,angCONN,axCONN,axid,axLEN,axref,CONN,segLEN,CH,INT,NC,TD,NACH,NAIN
360,423830.493069,563361.215279,423971.771428,563408.837477,1.9697845,5,349,149.08873,348,5,149.08873,744983,1476.3794,8597,50060.582,1.2495200673221,1.05124287984729
361,423779.312989,563343.195129,423830.493069,563361.215279,2.9425535,4,350,54.259804,349,4,54.259804,725390,1475.1863,8597,50101.07,1.2469639405479,1.05039337657894
362,423751.046061,563333.01938,423779.312989,563343.195129,2.3838108,4,351,30.042721,350,4,30.042721,720225,1474.7787,8597,50114.914,1.24627181614993,1.05010322212319
363,423732.310553,563325.765112,423751.046061,563333.01938,2.8423889,5,352,20.090885,351,5,20.090885,734479,1473.2778,8597,50165.969,1.24796529567623,1.04903455179282
364,423715.139946,563314.8289,423732.310553,563325.765112,6.2164373,8,353,20.357565,352,8,20.357565,743225,1457.7714,8597,50699.59,1.2478391664991,1.03799373696705
365,423545.13351,563256.510775,423715.139946,563314.8289,4.783802,7,354,179.73088,353,7,179.73088,821924,1435.7346,8597,51477.766,1.25536456799063,1.02230326521436
385,424183.438073,564072.462224,424190.156191,564100.116904,4.0953059,6,374,28.458996,373,6,28.458996,145346,1485.4984,8597,49753.273,1.09912142055475,1.0577357876073
392,423379.78302,565262.165557,423393.594366,565274.656453,4.1362996,6,381,18.621916,380,6,18.621916,943462,1389.4906,8597,53191.012,1.26426119271012,0.989376816531296
427,422254.928723,565465.353933,422257.51763,565539.258421,3.1309962,5,416,73.949821,415,5,73.949821,654558,1416.7299,8597,52168.313,1.23286336425891,1.00877165284155
428,422253.780952,565451.393414,422254.928723,565465.353933,1.7863302,4,417,14.007622,416,4,14.007622,663888,1418.5704,8597,52100.625,1.23431385986914,1.01008217674774
429,422253.780952,565451.393414,422267.209859,565126.236484,3.9055548,5,418,325.43411,417,5,325.43411,696891,1424.2864,8597,51891.535,1.23923960906812,1.01415201092527
480,421615.457651,563472.689901,421618.445808,563483.832622,3.689187,5,464,11.536434,463,5,11.536434,12305,1195.0259,8597,61846.699,0.853648241971633,0.850914145732815
481,421618.445808,563483.832622,421619.27521,563497.212912,5.1311522,6,465,13.405972,464,6,13.405972,11129,1165.1327,8597,63433.473,0.842609224416489,0.829629391653957
482,421619.27521,563497.212912,421621.492836,563537.697462,3.7978382,5,466,40.545242,465,5,40.545242,23781,1203.9412,8597,61388.719,0.913982461354536,0.857262037837853
483,421526.171654,563599.78207,421554.619958,563635.762535,2.7152181,3,467,45.868286,466,3,45.868286,17858,1114.0775,8597,66340.453,0.88179908699971,0.793276861111407
484,421554.619958,563635.762535,421606.184603,563625.037304,1.3456608,2,468,52.668236,467,2,52.668236,20956,1143.0958,8597,64656.355,0.898287310494881,0.813938629806945
485,421606.184603,563625.037304,421632.841453,563652.585382,1.8065557,3,469,38.333855,468,3,38.333855,27185,1220.6208,8597,60549.848,0.927273217368383,0.869138343626953
486,421742.521419,563628.297859,421787.545198,563618.533495,2.3581476,5,470,46.070419,469,5,46.070419,439829,1293.0599,8597,57157.758,1.1862872854543,0.920716509581286
487,421787.545198,563618.533495,421810.748016,563613.126189,3.8557062,5,471,23.82456,470,5,23.82456,507498,1293.7706,8597,57126.359,1.19941221077858,0.921222555583489
488,421810.748016,563613.126189,421846.556624,563606.53379,2.2459974,4,472,36.410385,471,4,36.410385,550484,1297.5422,8597,56960.309,1.20715604179155,0.92390799808117
489,421846.556624,563606.53379,421889.208231,563600.219771,1.2344618,4,473,43.116428,472,4,43.116428,568354,1300.5417,8597,56828.941,1.21032868713952,0.926043664740146
490,421889.208231,563600.219771,422003.03258,563585.428689,2.4547379,4,474,114.78135,473,4,114.78135,572265,1301.0201,8597,56808.043,1.21099576572986,0.926384316841144
491,423866.334676,563766.607152,423890.629936,563732.816364,2.0260825,4,475,41.618229,474,4,41.618229,193533,1549.5999,8597,47695.156,1.13001078903184,1.10337674796105
